X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
16.0003150000001,45.8687689990001,681,Kamenarski breg - istok    ,233,smjer Trg Svetog Šimuna,
16.000462,45.8691219990001,682,Kamenarski breg - zapad   ,233,smjer Mihaljevac,
15.975605,45.816470999,683,Kamenita vrata - istok    ,150,smjer garaža Tuškanac,
15.9755505040001,45.8158342670001,684,Kamenita vrata -zapad     ,150,smjer Trg bana Josipa Jelačića,
15.9868900000001,45.852406999,685,Kameniti stol - istok    ,"203,226",smjer Krematorij,
15.9868709990001,45.8523089990001,686,Kameniti stol - zapad     ,"203,226",smjer Svetice ,
15.985531,45.8492189990001,687,Kameniti stol 14 - istok   ,"203,226",smjer Svetice,
15.9852900010001,45.848806999,688,Kameniti stol 14 - zapad   ,"203,226",smjer Krematorij,
15.8370510010001,45.823501999,689,Kamenolom - istok         ,123,smjer Podsusedsko dolje,
16.102406,45.935347999,690,Kamenolom - jug          ,263,smjer Kašina,
16.1021700000001,45.9353889990001,691,Kamenolom - sjever          ,263,smjer Planina Gornja,
15.836625,45.8233329990001,692,Kamenolom - zapad          ,123,smjer Črnomerec,
16.060085999,45.8904939990001,693,Kameščica - istok           ,"209,239",smjer Čučerje,
16.0599540000001,45.890684999,694,Kameščica - zapad          ,"209,239",smjer terminal Dubrava ,
16.041549,45.813281999,695,"Kampus, restoran- jug   ",236,smjer ulica Grada Gospića,
16.042042,45.811227999,696,"Kampus, fakultet - sjever    ",236,smjer ulica Grada Gospića,
16.0298100000001,45.7912289990001,697,Kanalski put - istok        ,"217,290",smjer Kvaternikov trg,
16.030917,45.790218999,698,Kanalski put - zapad       ,"217,290",smjer Domovinski most,
15.8700890000001,45.825682999,699,Kancelak - istok          ,124,smjer okretište Dubravica ,
15.870037,45.8252429990001,700,Kancelak - zapad            ,124,smjer Črnomerec,
16.040852,45.8075939990001,701,Kanfanarska - sjever,215,smjer Kvaternikov trg,
15.9784270000001,45.815051999,702,"Kaptol - izlaz za linije  105,106,201,226 i 238            ","105,106,201,226,238",terminal Kaptol,
15.978867,45.815277999,703,Kaptol - ulaz linija 105 i 203            ,"105,203",terminal Kaptol,Zbog radova linija 105 Kaptol - Britanski trg prometuje s Kaptola redovitom trasom do križanja Jurjevska/Gornje Prekrižje – (desno) Gornje Prekrižje – kružni tok – (desno) Ulica Pantovčak – dalje ulicom Pantovčak do Britanskog trga. U povratku s Britanskog trga autobusna linija prometovat će istom trasom uz obrnuti redoslijed  ulica
15.9787260000001,45.815616999,704,Kaptol - ulaz linija 226 i 106            ,"106,226",terminal Kaptol,
15.976413999,45.8203099990001,705,Kaptol centar - zapad     ,105,smjer Kaptol,
15.9787680000001,45.8154449990001,706,Kaptol - ulaz linija 201 i 238,"201,238",terminal Kaptol,
15.8755209990001,45.8193389990001,707,Karažnik - Čileanska - sjever  ,"121,124,130",smjer Dubravica\Park 101. brigade,
15.917633,45.763313999,708,Karlovačka 157 - jug,"111,112,132,164,168",smjer Savski most,
15.917085,45.7633089990001,709,Karlovačka 157 - sjever,"111,112,132,164,168",smjer Lučko,
15.931973,45.7666199990001,710,Karlovačka 18 - jug  ,"111,112,132,164,168",smjer Savski most,
15.9324710000001,45.7668909990001,711,Karlovačka 18 - sjever,"111,112,132,164,168",smjer Lučko,
15.927034,45.7650859990001,712,Karlovačka 97 - jug     ,"111,112,132,164,168",smjer Savski most,
15.9258570000001,45.764849999,713,Karlovačka 97 - sjever,"111,112,132,164,168",smjer Lučko,
16.1246,45.9100269990001,714,Kašina - centar - istok   ,263,smjer okretište Kašina,
16.1244070000001,45.9099629990001,715,Kašina - centar - zapad   ,263,smjer prema gradu,
16.1236329990001,45.9149889990001,716,Kašina 110 - istok         ,263,smjer okretište Kašina,
16.123657,45.9147869990001,717,Kašina 110 - zapad         ,263,smjer prema gradu,
16.1217590000001,45.9186049990001,718,Kašina 128 - istok         ,263,smjer okretište Kašina ,
16.121696,45.9183639990001,719,Kašina 128 - zapad          ,263,smjer prema gradu,
16.120009,45.922155999,720,Kašina 179 - istok          ,263,smjer okretište Kašina ,
16.119903,45.9220519990001,721,Kašina 179 - zapad          ,263,smjer prema gradu,
16.1168010000001,45.9268939990001,722,Kašina - okretište - istok  ,263,smjer Planina Gornja,
16.116428,45.9269209990001,723,Kašina - okretište - ulaz\izlaz linija 263    ,263,okretište Kašina,
16.116839,45.926612999,724,Kašina - okretište - zapad   ,263,smjer prema gradu,
16.1073640000001,45.908557999,725,Kašinska Sopnica - istok    ,"261,262",smjer Planina Donja,
16.1066880000001,45.908697999,726,Kašinska Sopnica - jug   ,262,smjer prema gradu,
16.1091480000001,45.841711999,727,Kašinska - rasadnik - istok   ,"261,262,263,267,280",smjer Kašina,
16.108953001,45.8421299990001,728,Kašinska - rasadnik - zapad ,"261,262,263,267,280",smjer prema gradu,
15.97385,45.8147349990001,729,Katarinin trg - jug      ,150,smjer Trg bana Josipa Jelačića,
16.0021110000001,45.764305999,730,Kauzlarićev prilaz -  izlaz linija 109,109,završno stajalište linije 109,
16.0015200010001,45.7638519990001,731,Kauzlarićev prilaz - ulaz linija 109,109,početno stajalište linije 109,
16.002437,45.765167999,732,Kauzlarićev prilaz - ulaz\izlaz linija 220,220,smjer Vatikanska  ulica,
16.0334050010001,45.8346059990001,733,KB Dubrava - istok       ,"205,232",smjer Svetošimunska cesta,
16.0331150010001,45.8334419990001,734,KB Dubrava - zapad        ,"205,232",smjer terminal  Dubrava ,
